Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
10,02-07-2010,1845893.87,0,92.89,2.978,126.1392,9.199
7,04-03-2011,551378.39,0,21.84,3.232,192.0116004,8.818
25,25-06-2010,737569.14,0,72.17,2.808,204.5675459,7.856
26,25-05-2012,1067310.74,0,58.2,3.85,138.1101935,7.489
30,02-12-2011,412385.75,0,48.72,3.172,218.3590319,7.441
23,16-04-2010,1288823.72,0,44.25,2.885,131.9809,5.435
16,11-02-2011,466806.89,1,15.02,3.037,191.8572881,6.614
6,25-03-2011,1438465.81,0,70.83,3.473,216.1438163,6.858
31,07-09-2012,1358111.62,1,88.4,3.73,222.0747635,6.565
7,23-09-2011,536144.81,0,43.67,3.581,194.8099713,8.622
6,24-02-2012,1465187.71,0,59.17,3.555,222.2392726,6.132
36,05-02-2010,467546.74,0,45.97,2.545,209.8529663,8.554
30,03-08-2012,425136.55,0,91.57,3.417,221.5869799,6.565
2,02-07-2010,2003940.64,0,82.74,2.669,210.8803726,8.099
32,13-04-2012,1171834.47,0,52.1,3.901,197.780931,8.09
28,08-06-2012,1440687.69,0,84.83,4.103,130.8896774,11.627
18,24-02-2012,1037861.11,0,36.34,3.751,137.3411034,8.075
43,27-07-2012,572447.52,0,82.01,3.407,213.3303963,9.285
10,23-07-2010,1831676.03,0,88.44,3.112,126.1283548,9.199
41,04-05-2012,1359770.73,0,52.86,3.903,197.6063534,6.547
38,01-04-2011,382098.13,0,63.63,3.772,128.7199355,13.736
42,13-01-2012,664348.2,0,51.0,3.477,130.244,7.545
24,23-04-2010,1264117.01,0,51.07,3.021,132.0226667,8.211
24,02-07-2010,1563387.94,0,71.12,2.958,132.5218667,8.117
3,19-11-2010,372545.32,0,57.72,2.771,215.2074519,7.564
18,25-03-2011,944523.3,0,36.65,3.624,133.9587419,9.131
43,28-05-2010,630315.76,0,78.59,2.759,202.8716382,9.593
31,11-05-2012,1392938.06,0,74.14,3.688,221.3632212,6.891
6,04-05-2012,1543461.12,0,77.66,3.749,223.2800541,5.964
22,22-07-2011,964683.8,0,77.79,3.882,139.7969712,8.023
25,03-09-2010,685700.08,0,71.17,2.715,204.7583566,7.527
40,17-12-2010,1179036.3,0,23.01,3.139,132.6804516,5.287
1,18-02-2011,1686842.78,0,57.36,3.045,213.2478853,7.742
29,01-04-2011,475615.26,0,36.04,3.638,134.0682581,9.966
25,18-06-2010,780444.94,0,69.56,2.78,204.670036,7.856
14,26-11-2010,2921709.71,1,46.15,3.039,182.7832769,8.724
11,28-01-2011,1100418.69,0,51.04,3.01,215.5065821,7.551
35,23-04-2010,1110827.48,0,53.91,2.902,135.8721667,9.051
35,24-09-2010,758069.78,0,67.08,2.713,136.6317821,8.861
30,26-02-2010,472330.71,0,45.31,2.561,210.9759573,8.324
24,24-12-2010,2386015.75,0,27.74,3.309,132.7477419,8.275
35,29-04-2011,811824.06,0,61.71,3.962,138.3303119,8.512
7,14-10-2011,501959.19,0,32.65,3.491,195.0261012,8.513
