Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment
8,17-09-2010,836707.85,0,75.32,2.582,214.8785562,6.315
7,11-03-2011,558963.83,0,20.7,3.372,192.058484,8.818
42,12-11-2010,588592.61,0,61.24,3.13,126.5461613,9.003
15,26-08-2011,605413.17,0,69.19,3.906,136.2136129,7.806
42,19-08-2011,526641.23,0,87.4,3.743,129.2405806,8.257
4,19-08-2011,2232892.1,0,82.77,3.55,129.2405806,5.644
13,18-02-2011,2003480.59,0,40.85,3.062,127.99525,7.47
33,18-06-2010,272399.08,0,87.69,2.935,126.114,9.849
39,13-04-2012,1580732.73,0,71.59,3.891,220.1953389,6.989
28,18-11-2011,1255081.22,0,54.2,3.813,129.8268333,12.89
6,24-09-2010,1275591.84,0,76.49,2.624,213.1152886,6.973
23,08-10-2010,1179851.68,0,50.75,2.776,132.7516667,5.287
44,20-05-2011,303559.23,0,52.12,3.802,129.0756774,6.906
10,07-01-2011,1714309.9,0,43.43,3.287,127.1917742,8.744
11,03-06-2011,1343637.0,0,86.14,3.699,218.6449369,7.574
16,19-08-2011,554630.42,0,68.83,3.499,194.2500634,6.338
29,28-10-2011,515119.64,0,49.31,3.604,136.4884516,9.357
14,05-02-2010,2623469.95,0,27.31,2.784,181.8711898,8.992
33,06-05-2011,257031.19,0,77.92,4.193,129.0444333,8.687
16,07-10-2011,482926.93,0,48.91,3.498,194.9459724,6.232
4,26-11-2010,2789469.45,1,48.08,2.752,126.6692667,7.127
26,24-12-2010,1573982.47,0,21.81,3.15,132.7477419,8.149
25,19-02-2010,676260.67,0,24.16,2.745,204.4321004,8.187
11,12-08-2011,1354188.43,0,90.3,3.638,218.9605873,7.567
30,31-12-2010,397631.02,1,47.19,2.943,211.064774,8.163
43,03-06-2011,630972.15,0,83.49,3.699,207.1039009,10.581
35,22-10-2010,827705.82,0,52.82,2.917,136.688871,8.763
7,29-10-2010,465493.15,0,34.78,2.748,190.951728,9.137
34,28-09-2012,928629.31,0,67.06,3.666,131.043,9.285
2,02-03-2012,1952555.66,0,58.79,3.63,220.4866886,7.057
9,06-05-2011,545251.1,0,62.2,3.906,219.4315106,6.38
16,25-11-2011,712422.4,1,31.39,3.424,195.7704,6.232
18,21-05-2010,1101621.36,0,60.27,2.961,132.2230323,9.269
41,22-04-2011,1304481.75,0,42.86,3.636,192.5234638,6.934
21,17-02-2012,834663.52,0,45.03,3.51,220.0651993,7.057
8,13-07-2012,890488.01,0,78.46,3.256,225.4831143,5.401
26,16-04-2010,905548.38,0,36.6,2.885,131.9809,8.512
29,10-06-2011,558431.44,0,69.53,3.924,134.9425484,9.966
23,11-11-2011,1436940.78,0,44.04,3.57,136.4618065,4.42
39,11-03-2011,1283716.81,0,58.35,3.459,212.8611313,8.395
1,11-03-2011,1553191.63,0,53.56,3.459,214.1110564,7.742
10,08-10-2010,1772192.42,0,77.04,2.924,126.2791667,9.003
26,30-12-2011,972834.42,1,18.8,3.402,136.6432581,7.598
11,16-09-2011,1270816.01,0,85.11,3.526,219.3972867,7.567
45,30-12-2011,869403.63,1,37.79,3.389,189.0620155,8.523
3,19-03-2010,375328.59,0,60.42,2.72,214.5301219,7.368
8,19-10-2012,900309.75,0,62.99,3.594,227.0184166,5.124
20,23-04-2010,1878862.42,0,50.65,2.902,203.6905586,7.856
12,25-03-2011,954107.32,0,54.4,3.909,128.6160645,14.021
9,06-08-2010,522815.45,0,87.09,2.627,215.064843,6.442
15,27-04-2012,527402.62,0,41.57,4.163,137.9781333,8.15
10,15-07-2011,1775068.4,0,86.01,3.779,129.1338387,8.257
20,14-10-2011,2010107.68,0,62.54,3.541,210.4027602,7.082
10,22-06-2012,1755334.18,0,89.92,4.014,130.7929,7.382
37,12-03-2010,513015.35,0,61.96,2.667,210.1413607,8.554
8,23-09-2011,806444.29,0,68.72,3.467,219.788581,6.425
33,14-01-2011,259527.75,0,53.63,3.312,127.3009355,8.951
9,20-08-2010,499325.38,0,86.3,2.664,215.1619646,6.442
38,27-04-2012,419964.77,0,77.99,4.193,131.1266667,11.627
37,18-06-2010,505761.62,0,84.37,2.637,210.2108417,8.464
27,12-11-2010,1828010.25,0,45.9,3.065,136.8349032,8.021
14,13-04-2012,1912909.69,0,51.83,4.044,190.7595962,8.567
41,20-08-2010,1353838.39,0,66.19,2.732,190.2948237,7.335
29,17-06-2011,536914.17,0,63.97,3.873,135.0837333,9.966
24,19-03-2010,1222511.29,0,46.09,2.96,131.8242903,8.326
11,22-06-2012,1355680.3,0,83.26,3.346,225.3068615,6.664
19,11-06-2010,1410683.94,0,61.64,2.972,132.4357419,8.185
5,19-11-2010,297384.81,0,52.52,2.771,212.445487,6.768
15,05-08-2011,607961.21,0,73.63,4.02,136.0540323,7.806
45,21-10-2011,771686.4,0,59.6,3.57,187.7846197,8.523
25,11-11-2011,719235.07,0,44.81,3.53,210.9810201,7.082
24,27-04-2012,1194334.65,0,49.26,4.163,137.9781333,8.983
41,10-06-2011,1311690.11,0,61.1,3.735,192.8470612,6.934
4,22-07-2011,2036231.39,0,82.84,3.627,129.1507742,5.644
3,27-07-2012,389427.9,0,84.94,3.407,225.4537579,6.334
2,27-07-2012,1757923.88,0,86.37,3.407,221.5785461,6.565
18,30-09-2011,847348.08,0,69.01,3.684,136.4195,8.89
23,26-03-2010,1310701.8,0,38.59,2.831,131.863129,5.892
43,27-01-2012,587685.38,0,52.1,3.29,211.5879908,9.653
